CPSC	recall_number	remedy	sold_to	name_of_product	description	manufacturer	sold_exclusively_at	manufactured_in	incidents_injuries	hazard	importer	consumer_contact	units
CPSC	05554	Consumers should stop using these candles immediately and contact Skylighter for a refund.	null	null	The candleholder is shaped like a lotus flower. It is plastic and consists of eight small candles that are ignited by a center flame. The small candles open up to resemble a flower blooming. There is a battery inside the center candle that allows it to play the music to &quot;Happy Birthday&quot;.	null	null	null	There have been no reported incidents or injuries.	The center of the candle has an unexpected high flame and the plastic petals could ignite resulting in melting and dripping plastic. The ignited plastic could also spread to nearby combustibles and pose a fire hazard to consumers. The battery contained in the middle of candle could eventually explode.	null	null	About 120 candleholders
CPSC	05133	Building owners and managers with recalled fixtures should contact Lithonia Lighting to verify that the fixtures are included in the recall and to arrange for a replacement of the cord, and if necessary, the reflector. Lithonia Lighting and its distributors are directly notifying customers who purchased the recalled fixtures.	null	High Intensity Discharge (HID) light fixtures with acrylic reflectors	These are indoor HID light fixtures with acrylic reflectors and cords. They are generally used in locations such as retail spaces, light manufacturing areas, warehouse spaces, and gymnasiums. Only certain models of specific wattage lights are included in the recall. Recalled fixtures have a date of manufacture from June 3, 1999 through May 31, 2002. Check the Lithonia Web site for a list of the specific model and wattage combinations included.	Lithonia Lighting, of Conyers, Ga.	null	USA and Mexico	Lithonia has received reports of about 336 fixtures in which acrylic reflectors cracked, including reports of about 24 acrylic reflectors or pieces falling from fixtures. No injuries have been reported.	The cord of the light fixture can drip plasticizer fluid onto the light fixture, which can degrade the acrylic reflector, causing it to crack and fall. Falling pieces of acrylic can injure a person below the fixture.	null	null	About 120,000
CPSC	05134	Consumers should stop using these crampons immediately and contact Montrail to find out how to return them and for further recall details.	null	Crampons (used for ice climbing and mountaineering)	The recall includes models I354, I356, and K364 sold under brand names I.C.E. 9 and Khumbu. The recall includes products with UPC numbers beginning with 619120036 and ending with 204, 211, 464, or 457. These model and UPC numbers are listed only on the packaging, but not on the products themselves.	Montrail Inc., of Seattle, Wash.	null	Korea	Montrail has received three reports of crampons breaking. No injuries were reported.	The vertical rails at the front of these crampons can break, which could result in falls and injuries to consumers.	null	null	969 pairs
CPSC	05135	Consumers should stop using Bernat &quot;Fur Out&quot; yarn and items made with Bernat &quot;Fur Out&quot; yarn immediately and contact the manufacturer for instructions on how to return the products and receive a full refund.	null	null	All 17 Bernat &quot;Fur Out&quot; yarn colors are involved in this recall. The recalled yarn can be identified by UPC numbers beginning with &quot;05735527&quot; and ending with one of the following numbers:	null	null	Turkey.	Bernat has received two reports of garments made of the recalled yarn burning, with one person receiving singed eyebrows.	&quot;Fur Out&quot; yarn is flammable when used as the sole yarn in a garment. Garments constructed of &quot;Fur Out&quot; yarn are dangerously flammable when exposed to a flame, posing a burn risk to consumers.	null	null	About 730,000 1.75-ounce balls of yarn
CPSC	05550	Consumers should inspect their bicycle frame immediately for a crack in the chain stay bridge area or return the bicycle frame to Roark for inspection. Contact Roark for shipping or delivery instructions, at Roark's expense. The company will offer a $100 discount on their &quot;frame refreshment program,&quot; as an incentive for consumers who have their bicycle frame inspected by Roark. Bicycle frames that exhibit a crack in the chain stay bridge area will either be repaired or replaced at no cost to the consumer.	null	null	The recall involves custom titanium bicycle frames for road bicycles manufactured and distributed by Roark. The bicycle frames have a &quot;Titanium&quot; sticker on the top tube and a &quot;Roark&quot; sticker on the down tube. Every bicycle frame is built to the unique specification of each customer and has serial number and manufactured date located on the bottom bracket. Bicycle frames affected have serial numbers 001 through 422.	null	null	USA	Roark has received nine reports of bicycle frames cracking, but no injuries have been reported.	The frames on these bicycles can crack and fail during use, posing a risk of injury to riders.	null	null	422
CPSC	05132	Consumers should stop using the product immediately and contact Applica Consumer Products Inc. to receive a free replacement blade assembly.	null	Black &amp; Decker&reg; brand ProBlend&reg; blenders	The recall includes Black &amp; Decker&reg; brand ProBlend&reg; models BL5000, BL5900 and BL6000. The recalled ProBlend&reg; products are 5-speed, 550-watt blenders with 48-ounce marked glass jars. Each model has a die-cast, brushed stainless steel base bearing the name &quot;Black &amp; Decker.&quot; The model number is located on the bottom of the product.	Elec-Tech International Co. Ltd., of China. Applica Consumer Products Inc., of Miramar, Fla., made and sold these blenders under the Black &amp; Decker&reg; brand.	null	China	Applica Consumer Products Inc. has received reports of 18 incidents of broken blades associated with this problem. No injuries have been reported.	The blades can weaken or break during use while making frozen beverages. A broken blade presents a risk of injury if taken into the mouth or swallowed.	null	null	About 500,000
CPSC	05129	Consumers with recalled carpet should contact Shaw Industries to arrange for free replacement carpeting and installation. The list of stores where the recalled carpeting was sold is attached.	null	Shaw Industries' &quot;Southern Breezes&quot; Wall-to-Wall Carpet	The recalled wall-to-wall carpet was manufactured by Shaw Industries exclusively for sale by Menard Inc. in its Menards stores. The recalled carpet was sold under the Menard style number 75123 and style name &quot;Southern Breezes&quot; in the colors Toast, Midnight and Clove.	Shaw Industries Inc., of Dalton, Ga.	null	United States	None reported.	Due to a manufacturing error, an uneven application of a latex pre-coat treatment containing a flame retardant was applied to the carpet backing. As a result, the carpet does not meet flammability standards as required under the federal Flammable Fabrics Act. The carpet could ignite, posing a serious risk of burn injuries to consumers.	null	null	About 5,000 square yards (about 700 individual units) of carpet
CPSC	05130	Consumers should immediately contact JVC for further instructions and to schedule a free in-home service. JVC is contacting registered consumers directly via regular mail and e-mail to arrange a free at-home service.	null	Rear-projection televisions	The recalled 52-inch and 61-inch JVC rear projection televisions were manufactured between May 2004 and November 2004. The televisions have the following model and serial numbers:	JVC Americas Corp., of Wayne, N.J.	null	Mexico	JVC has received two reports of incidents, including one case of melted television parts and one case of a minor television fire. No injuries have been reported.	An internal electrical connection can cause electrical arcing, charring or smoking inside the television, which pose a fire risk to consumers.	null	null	26,500
CPSC	05131	Consumers should stop using the crib immediately and contact Delta Enterprise Corp. to arrange for two free replacement headboards.	null	Portable Cribs	The cribs are made of wood sold in three finishes including: natural, cherry and white. Model numbers 4464-1 (white), 4464-2 (natural) and 4464-4 (cherry) and &quot;Taiwan&quot; are printed on the mattress pad support board.	Delta Enterprise Corp., of New York, N.Y.	null	Taiwan	Delta Enterprise Corp. has received eight reports of crib slats separating. No injuries have been reported.	The crib slats can separate from the headboard, posing an entrapment risk to young children. In addition, children can fall through the slat opening.	null	null	About 10,000
CPSC	05548	Honeywell Sensing and Controls will provide a free replacement switch	null	null	These &quot;Snap Action&quot; thermal switches were sold under the model number 2450A, 2455RA, or 2455RM. They have model numbers and date codes stamped on the sensing surface or end cap. Following are those model numbers and date codes that are part of the corrective action:	null	null	China	None reported	When these switches are used in fire or HVAC dampers and heat detectors, they could fail to operate, causing the damper not to close or causing the heat detector not to alarm if there is a fire.	null	null	About 113,500, including about 12,200 that were installed in buildings
CPSC	05549	Building owners and managers with recalled fixtures should contact Lithonia to verify that the fixtures are included in the recall and to arrange for a replacement of the fixture or faulty component. Lithonia and their distributors are directly notifying customers who purchased the recalled fixtures.	null	High Intensity Discharge (HID) light fixtures with acrylic lenses and/or reflectors	These are indoor HID light fixtures with acrylic lenses and/or reflectors. They are generally used in locations such as retail spaces, light manufacturing areas, warehouses and gymnasiums. Only certain models of specific wattage lights are included in the recall. Check the Lithonia Web site for a list of the specific model and wattage combinations included. All recalled fixtures were manufactured in Crawfordsville, Ind., and have a date of manufacture from April 2002 through October 2003. The models, wattages, city and date of manufacture, and the name &quot;Lithonia,&quot; can be found on a label attached to the ballast housing. This recall also includes certain replacement ballast kits within the above dates of manufacture.	null	null	United States.	Lithonia has received reports of approximately 330 fixtures in which acrylic lenses and/or reflectors cracked, including reports of approximately 50 acrylic lenses, reflectors, or pieces falling from fixtures. One person suffered a laceration on his forehead when a piece of acrylic lens fell and struck him.	A component in the light fixture can leak fluid, which can degrade the acrylic lenses and reflectors, causing them to crack and fall. Falling pieces of acrylic can injure someone below the fixture.	null	null	About 93,200
CPSC	05125	Consumers should return the recalled pacifiers to the store where purchased to receive a full refund.	null	Soother Baby Pacifiers	The recalled pacifiers measure about 2-1/2 inches in length and 2 inches in width. The pacifiers are blue, green, yellow and pink and have a tan tinted nipple with a curved plastic handle and shield. &quot;SOOTHER BABY PACIFIERS&quot; is printed on the back of cardboard packaging with a clear blister-bubble cover.	null	null	Thailand	No injuries reported.	The pacifiers are banned under federal law. They failed federal safety tests when the nipples separated from the base and can pose a choking hazard to infants and small children.	The Elegant Kids 2000 Inc., of Los Angeles, Calif.	null	About 34,500
CPSC	05128	Consumers should stop using the recalled sweaters immediately and return them to any J.C. Penney store for a full refund.	null	Arizona&reg; Boys' Zip-Up Cardigan Sweater	The recalled sweaters were sold in toddler sizes (2T to 5T) and infant sizes (12M to 24M) in colors red barn and navy. The sweaters have an Arizona Jean Company tag sewn in the neckline and include &quot;RN Number 93677&quot; and &quot;Made in Israel.&quot;	J.C. Penney Corp., of Plano, Texas	null	Israel	J.C. Penney has received one report of a toddler removing the zipper-pull mechanism and placing it in his mouth. No injuries have been reported.	The zipper-pull mechanism can detach from the zipper, posing a choking hazard to children.	null	null	57,000 (42,000 toddler-size and 15,000 infant size)
CPSC	05127	null	null	null	null	null	null	null	null	null	null	null	null
CPSC	05547	Schools and fundraising officials have received notification of this recall. Consumers can return the product for a replacement prize of equal value.	null	null	Flying Saucer battery-powered toys with model numbers 83153 and 3321 consist of a 9-inch diameter foam saucer with a rechargeable motor at its hub with a plastic propeller under the motor. The Flying Saucer is a foam ring with seven ribs or blades between the hub and the outer ring. The propeller rotates inside the circumference of the foam ring. The toy comes with a plastic hand-held &quot;thrust transmitter&quot; that is used to activate and control the speed of the saucer. Each toy also comes with an AC adapter for recharging the saucer's batteries. No other models are affected.	null	null	null	QSP has received five reports of overheating. There have been no reports of injury.	The Flying Saucer can overheat while charging, resulting in the plastic motor cover starting to melt, creating a risk of burns to children handling the toy.	null	null	555
CPSC	05126	Consumers should immediately take the toy away from young children and return it the store where purchased for a refund.	null	Stuffed Yarn Bunny	The stuffed bunny is about 8-inches tall wearing a skirt or overall shorts in various colors including purple, turquoise and pink. The skirt and overall shorts are decorated with heart and flower buttons, and there is a bow tie at the neck in checked pattern colors including green and pink. The eyes are round black beads. A hang tag attached to the stuffed bunny reads in part, &quot;OCEAN DESERT SALES 5400 TULIP STREET, PHILADELPHIA, PA 19124 ITEM NO.: EST-220 MADE IN CHINA UPC CODE: 0 15381 14220 1.&quot;	Ocean Desert Sales Inc., of Philadelphia, Pa.	null	China	None reported.	The eyes can detach from the stuffed animal, posing an aspiration hazard to young children. Additionally, the heart and flower button decorations also can detach, posing a choking hazard.	null	null	About 18,500
CPSC	05124	Contact Ginger&reg; to receive free replacement shades	Commercial dealers and to consumers through select showrooms and retailers nationwide from August 2003 through September 2004 for between $240 and $355.	The Ginger&reg; Kubic&reg;, K2&reg; and Surface™ Bathroom Light Fixtures	The Ginger&reg; Kubic&reg;, K2&reg; and Surface™ collection light fixtures feature 8-inch-long, cylindrical, white glass shades that are about 3-inches in diameter. They have chrome or satin nickel wall plates, some decoratively encircled with wood. The lights can be installed horizontally or vertically. The lights use incandescent bulbs up to 100 watts. No screws are used to attach these shades. They are glued to a metal base, which screws onto the fixture. No writing is visible on the mounted light fixtures. For more information on model numbers and distinctive features of these fixtures, contact Ginger&reg;.	Ginger&reg;, of Fort Mill, S.C.	null	null	The firm has received one report of a consumer who suffered a minor cut to his foot after stepping on broken glass from a fallen shade.	null	null	null	About 5,900
CPSC	05546	Cut off the fabric zipper pull and dispose of it.	null	null	The recalled Lands' End outer wear have a rubber tab located at the end of the fabric zipper pull located on the front of the jacket. The recall includes the garments and style numbers listed below. The style number is written on a label in the left side seam of the garment.	null	null	null	Four reports of the tab being chewed off, without injury.	null	Lands' End, of Dodgeville, Wis.	null	About 24,000
CPSC	05545	Consumers should stop using the ATVs immediately and contact their Kawasaki dealer to schedule an appointment for a free inspection and repair.	null	null	The recalled Kawasaki ATVs include the Brute Force™ 750 4x4i model, which was manufactured between April 26, 2004 and September 10, 2004. The ATVs come in red, green, yellow or camouflage, and have the words &quot;Kawasaki&quot; and &quot;Brute Force&quot; printed on each side of the vehicle's fuel tank. &quot;VTwin 750&quot; is printed on each side of the rear fenders, and &quot;Kawasaki&quot; is embossed on the front grille and rear mud flaps above the rear wheels.	Kawasaki Motors Manufacturing Corp., USA of Lincoln, Neb.	null	null	Kawasaki has received 14 reports of incidents with three minor injuries reported at this time.	On some units, the nut which secures the front upper suspension arm pivot bolt could come loose during vehicle use. Continued use of the vehicle could allow the nut to come off, and the upper suspension A-arm pivot bolt to back partially out. This would result in a loss of steering control, and possibly cause the rider to crash and suffer injury or death.	null	null	About 9,500
CPSC	05122	Consumer should take these toys away from young children immediately, and return the recalled toys to the store where purchased for a refund.	null	&quot;Toy Tunes&quot; Electronic Musical Toys	The recall includes two styles of battery-operated, electronic musical toys. The multi-colored toys come in the shape of a drum and a xylophone, and are sold with a drumstick for playing the musical toy. The recalled toys have a label affixed to the top of the package that reads &quot;LIGHT &amp; SOUND MUSICAL TOY&quot; and &quot;TOY TUNES.&quot; A second label affixed to the bottom right of the package reads &quot;TRY ME!&quot; The label affixed on the back of the package contains, &quot;DOLLAR TREE DIST., CHESAPEAKE, VA 23320&quot; and &quot;MADE IN CHINA.&quot;	null	null	China	None reported.	The ball on the end of the drumstick sold with these toys can break off during use, posing a choking hazard to young children.	null	null	About 147,600
CPSC	05123	&nbsp;Consumers with one of these dishwashers should immediately stop using it, disconnect the electric supply by shutting off the fuse or circuit breaker controlling it, and inform all users of the dishwasher not to use it due to the risk of fire. Consumers should call Whirlpool to determine if their dishwasher is included in this recall. If it is included, Whirlpool Corporation will schedule a free in-home repair. Please do not return the dishwasher to the retailer where it was purchased, as retailers are not prepared to take them back. If you own a Whirlpool&reg; brand and Kenmore&reg; brand under-the-counter plastic tall tub dishwasher and have had service on your wash motor between August 2004 and January 2005, please call Whirlpool Corporation to determine if your unit is included in this recall and to schedule a free, in-home inspection.	null	<span style="font-family: Arial, Helvetica, Geneva, Swiss, SunSans-Regular; font-size: small; line-height: normal;">&nbsp;Whirlpool&reg; and Kenmore&reg; brand dishwashers</span>	<span style="font-family: Arial, Helvetica, Geneva, Swiss, SunSans-Regular; font-size: small; line-height: normal;">&nbsp;The recalled products are Whirlpool&reg; brand and Kenmore&reg; brand (made by Whirlpool Corporation) under-the-counter, plastic tall tub dishwashers. The dishwashers come with black, white, biscuit, or stainless front panels. They have the following model and serial numbers located inside the tub on a tag near the left side of the door opening:</span>	<span style="font-family: Arial, Helvetica, Geneva, Swiss, SunSans-Regular; font-size: small; line-height: normal;">&nbsp;Whirlpool Corporation, of Benton Harbor, Mich.</span>	null	&nbsp;The dishwashers were manufactured in Findlay, Ohio, and the motors were manufactured in China.	<span style="font-family: Arial, Helvetica, Geneva, Swiss, SunSans-Regular; font-size: small; line-height: normal;">&nbsp;Whirlpool Corporation has received three reports of overheated wash motors. There are no reports of personal injury or property damage.</span>	<span style="font-family: Arial, Helvetica, Geneva, Swiss, SunSans-Regular; font-size: small; line-height: normal;">&nbsp;An electrical defect within the dishwashers' wash motor wiring poses a risk of the motor overheating and possibly catching fire.</span>	null	null	<span style="font-family: Arial, Helvetica, Geneva, Swiss, SunSans-Regular; font-size: small; line-height: normal;">&nbsp;About 162,000</span>
CPSC	05544	Consumers can return the product to Tiffany and Company for a full refund, credit or a new rattle.	null	null	The recalled rattle is designed for children ages 3 months and up. The Farm Teether Rattle is a hollow, sterling silver ring approximately 3 inches in diameter with a bar across its center. The bar is attached to the interior of the ring at two points and has three farm animals (sheep, duck and cow) and two beads that rotate on the bar. Small plastic beads inside the ring rattle when the product is shaken. Inscribed on the rattle is &quot;&copy; 2002 TIFFANY &amp; CO. 925.&quot;	New England Sterling of Attleboro, Mass., for Tiffany and Company of New York, N.Y.	null	null	CPSC and Tiffany and Company have received one report of a farm animal figure that was found in the mouth of a 7-month-old child. The child was not injured.	A metal bar on the rattle can break off during use, releasing small round beads and small farm animal figures that roll off the crossbar when the soldered joints break. The beads can pose an aspiration hazard to young children. The breakage also can create ragged edges on the ring, posing a laceration hazard.	null	null	About 3,700
CPSC	05119	Consumers should return these candle sets to the Kmart store where purchased to receive a refund.	null	Martha Stewart Everyday Brand Birch Candle Sets	The recalled candle sets contain three birch bark candles and pine cones that sit on a round tray. The candles measure 3, 4, and 6-inches in height and have a white birch exterior. &quot;Martha Stewart Everyday&quot; brand name is printed on the box.	null	null	China	Kmart has received one report of a man who was burned on the hand while picking up one of the candles.	The birch, surrounding the candles, may ignite, posing a fire and burn hazard.	Kmart Corp., of Troy, Mich.	null	About 4,600
CPSC	05121	Customers can return the product to a Cressi-sub-authorized dive shop to have the product retro-fitted with a free replacement internal cable housing. Buoyancy Compensator devices with a black retaining ring around the yellow inflate button on the inflation mechanism, and an adjoining gray cover assembly (bypass case), which screws onto the inflator, are subject to this recall and must be retro-fitted. Devices which have yellow retaining rings and black cover assemblies have been retro-fitted.	null	Cressi-sub Buoyancy Compensators	Buoyancy Compensator devices provide buoyancy control for scuba divers by allowing them to inflate or deflate the devices. The recalled buoyancy compensators have model numbers J107, J113, J115, and J119. The numbers appear on the top right-hand corner of the unit (on the shoulder). &quot;CRESSI&quot; is written on the buoyancy control devices.	Cressi-sub S.p.A., of Genoa, Italy.	null	Genoa, Italy.	None reported.	A slow leak from the shoulder exhaust caused by expansion of an internal cable housing could result in slow deflation. This could impact the diver's ability to control buoyancy.	null	null	About 1,000
CPSC	05117	Consumers should stop using the carrier immediately and contact Playtex Products Inc., for instructions on returning the carrier for a replacement.	null	Playtex Hip Hammock	The recalled infant carriers were sold under the name &quot;Playtex Hip Hammock,&quot; which is sewn into the front of the carrier. The model number is sewn into the inside panel below the instructions for use. The model numbers are:	Playtex Products Inc., of Westport, Conn.	null	China	The company has received two reports of the shoulder strap detaching from the infant carrier. No injuries have been reported.	The shoulder strap support can detach from the hammock, posing a fall hazard to the baby.	null	null	About 32,000
CPSC	05118	Consumers should immediately stop using these recalled diving computers, and return the computers to an authorized Dacor dealer for a free repair.	null	SCUBA Diving Computers	The recall includes the Dacor Darwin Air dive computer with serial number 3265 through 3415, and the Dacor Darwin Console dive computer with serial numbers 8503 through 8592. The serial number will appear on the dive computer screen after removing and reinserting the batteries. The Darwin Air is a completely integrated dive computer and pressure gauge with &quot;Dacor Darwin Air&quot; written on the front. It is encased in gray on black heavy-duty plastic. The Darwin Console is a dive computer with a compact submersible pressure gauge bearing the word &quot;Dacor&quot; on the front. It is encased in black heavy-duty plastic.	null	null	Italy by HTM Sports S.p.A.	Head USA received one report of a computer malfunction. No injuries were reported.	The dive computers were improperly calibrated, resulting in incorrect calculations. Diving with an improperly calibrated dive computer can provide inaccurate &quot;No Decompression (no stop) Time,&quot; &quot;Decompression Time,&quot; &quot;Desaturation Time&quot; and &quot;No Fly Time.&quot; This could result in divers suffering serious injuries, including decompression sickness.	null	null	181
CPSC	05115	Consumers should stop wearing the boots immediately and return them to the nearest Target store for a full refund.	null	Merona Women's Sidezip &quot;ENA&quot; Style Boots	The Merona Women's sidezip boot comes in black or brown with a three-inch heel in sizes 5 1/2 through 11. The style numbers included in this recall are 096-10-1180 through 1190 for the black boots and 096- 10-1200 through 1210 for the brown boots. These numbers appear on the interior zipper liner along with the words, &quot;All Man Made Materials,&quot; &quot;Made in China,&quot; &quot;Merona&quot; and &quot;ENA&quot;.	null	null	China	Target has received 19 complaints of the heels breaking off, including one report of a sprained ankle.	The heel on the boot can detach from the sole while in use, causing the consumer to fall.	Target Corp., of Minneapolis, Minn.	null	About 135,000
CPSC	05116	Consumers should immediately stop using the dishwasher and contact GE to arrange for their dishwashers to be repaired free of charge.	null	General Electric Built-in Dishwashers	The following models are included in this recall and were sold after January 20, 2004: GE dishwasher models GSD5500G, GSD5560G, GSD5800G, GSD5900G, GSD5960G, EDW3000G, and EDW3060G, with serial numbers with the first letter A through T and the second letter G, or the serial letters VF. The serial number is important as not all dishwashers with these model numbers are included in this recall. The model and serial number are located inside the door wall of the dishwasher.	GE Consumer &amp; Industrial of Louisville, Ky.	null	USA	GE received 29 reports of connectors overheating, including one report of a fire that spread outside the dishwasher and caused minor property damage. No injuries have been reported.	These dishwashers have a connector that can short-circuit and overheat during normal use, posing a fire hazard to consumers.	null	null	About 74,300
CPSC	05541	Consumers should contact the retail store where they purchased their Youth ATV for inspection and retrofit.	null	null	The recall includes all of Kolpin Powersports' 2004 model year Youth ATVs	Amstrong Industry Corporation, Taiwan, R.O.C.	null	null	Kolpin Powersports has received two reports of loose lock nuts. No injuries have been reported.	Metal-flange locking nuts securing the tie rod assemblies, integral to the steering system on the Youth ATV, can come loose. The resulting unstable steering condition could result in serious injury or death to a rider.	Kolpin Powersports, Inc. Fox Lake, Wisconsin.	null	About 1,000 90cc units and 39 50cc units.
CPSC	05542	The firm has designed a scissor like attachment that fits on top of the clamp (vise). This cuts the wax from the sides and extinguishes the flame, preventing the candle from burning below the attachment and igniting the entire candle. The firm will either replace the candle with the new fitting, give store credit for the original cost of the rope candle or give a full refund.	null	null	The Rope Candle is a 21-foot coiled beeswax candle that feeds up to a scissors-like vise. The candle is lit above the vise. The candle is 7-inches tall and sits on an antiqued copper-finish holder.	Zhongshan Zhongnam Candle Manufacturer Co., Ltd. of China	null	null	Three incidents were reported where the candle continued to burn past the point where it is supposed to self-extinguish. There was some property damage in two incidents; however, nobody was hurt.	The candle has a clamp (vise) that leads the end of the rope candle at the top. When clamped properly it is supposed to self-extinguish the candle when the burning wick meets the metal clamp (vise). The clamp (vise) does not always sever the wax close to the wick and does not always enable the wick to self-extinguish. This can lead to the flame continuing down into the coiled section of the candle, which can then ignite and cause fire damage.	null	null	About 2,000
CPSC	05543	Consumers should stop using the bicycle immediately and contact their local Cannondale dealer for a replacement seat post at no cost to the consumer. Authorized dealers have the exact models and serial numbers of bicycles with affected seat posts.	null	null	The recall involves Lee Chi model 1-X bicycle suspension seat posts. The seat post was manufactured by a component manufacturer for Cannondale and installed on various 2005 model year Cannondale brand bicycles. These seat posts have a natural anodized aluminum finish, a 1-X logo is laser etched on the outer tube, and a black, yellow and red instruction booklet with the 1-X logo is attached. Lee Chi is also known as Promax, but the seat posts are not marked with either name. Specific Cannondale bicycle models with affected seat posts are listed in the table below. Model names are printed on the top tube of the bicycle frame.	Cannondale Bicycle Corporation, of Bethel, Conn.	null	null	No incidents or injuries reported.	The seat posts may have been improperly manufactured, which could cause the seat post to fail prematurely. A failure could lead to a crack in the bicycle seat post, which may cause the rider to fall or crash.	null	null	About 1,480
CPSC	05113	Consumers should stop using the product and contact GSI Commerce Solutions to receive a free repair kit.	null	Electric Scooters	The recall involves models FS-101 and FS-102 Spartan Sports electric scooters, which are powered by 250-watt electric motors and made of steel. The model numbers do not appear on the product but are on the users' manual. The scooters have adjustable handlebars, collapsible parts, and a stepping plate and kickstand attached to the base. The scooters were sold in black and blue with a black kickplate.	null	null	China.	GSI Commerce Solutions has received 28 reports involving the scooters' handlebars. Twenty-two incidents involved the FS-101 scooter, including one report of a child who suffered a broken arm from the fall. There were six other incidents with FS-102 scooters with no reported injuries.	A knob can loosen and cause the handlebar to detach from the scooter. Additionally, the folding joint lock on the model FS-101 scooter can break, causing the handlebars to release from the upright position. Both hazards can cause the rider to lose control and fall from the scooter.	null	null	About 4,300
CPSC	05114	Consumers should immediately take these cups away from young children. Consumers should return the cups to the store where purchased for a refund or contact firm.	null	&quot;Maui Ocean Center&quot; Toddler Drinking Cups	The toddler cups are made of clear plastic with two handles and have a blue lid with a spout for young children to drink from. The dome-shaped container inside the cup contains blue and clear liquid, along with two toy dolphins, which appear to be swimming in the liquid. &quot;MAUI OCEAN CENTER&quot; is written on the side of the cups.	Charles Products, of Bethesda, Md.	null	China	CPSC and Charles Products have received one report of the petroleum distillates leaking from the bottom of the cup. No injuries were reported.	A container inside the cup holds petroleum distillates, which can leak onto the outside of the cup and could come into contact with the user posing a poisoning hazard to children.	null	null	720
CPSC	05113	Consumers should stop using the product and contact GSI Commerce Solutions to receive a free repair kit.	null	Electric Scooters	The recall involves models FS-101 and FS-102 Spartan Sports electric scooters, which are powered by 250-watt electric motors and made of steel. The model numbers do not appear on the product but are on the users' manual. The scooters have adjustable handlebars, collapsible parts, and a stepping plate and kickstand attached to the base. The scooters were sold in black and blue with a black kickplate.	null	null	China.	GSI Commerce Solutions has received 28 reports involving the scooters' handlebars. Twenty-two incidents involved the FS-101 scooter, including one report of a child who suffered a broken arm from the fall. There were six other incidents with FS-102 scooters with no reported injuries.	A knob can loosen and cause the handlebar to detach from the scooter. Additionally, the folding joint lock on the model FS-101 scooter can break, causing the handlebars to release from the upright position. Both hazards can cause the rider to lose control and fall from the scooter.	null	null	About 4,300
CPSC	05114	Consumers should immediately take these cups away from young children. Consumers should return the cups to the store where purchased for a refund or contact firm.	null	&quot;Maui Ocean Center&quot; Toddler Drinking Cups	The toddler cups are made of clear plastic with two handles and have a blue lid with a spout for young children to drink from. The dome-shaped container inside the cup contains blue and clear liquid, along with two toy dolphins, which appear to be swimming in the liquid. &quot;MAUI OCEAN CENTER&quot; is written on the side of the cups.	Charles Products, of Bethesda, Md.	null	China	CPSC and Charles Products have received one report of the petroleum distillates leaking from the bottom of the cup. No injuries were reported.	A container inside the cup holds petroleum distillates, which can leak onto the outside of the cup and could come into contact with the user posing a poisoning hazard to children.	null	null	720
CPSC	05108	Consumers should immediately take the denim jumper away from children and return to Kmart for a refund or replacement.	null	Denim Jumper Set	The recalled denim jumper sets are made of 100 percent cotton and were sold in three different styles. Style number 2814X is a long sleeve bodysuit with a flower appliqu&eacute; jumper. Style number 2817X is a striped turtleneck with a heart pocket jumper and Style number 2818X is a long sleeve bodysuit with a patchwork jumper.	HIS International, of New York, NY.	null	China	None reported.	The paint on the buttons contains excessive lead levels, posing a lead poisoning hazard to young children.	null	null	About 6,700
CPSC	05109	Consumers should contact Sea Gull Lighting to receive instructions on having the recalled ceiling light fixtures repaired by a licensed electrician.	null	Ceiling Light Fixtures	The light fixtures were sold in a variety of styles and shapes and hang from the ceiling. Only models 31021-794, 31022-794, 66022-794, 5217-02, 5217-746 and 5217-786 are included in the recall due to a component part problem with the screw collar. The model number is printed on the inside of the light canopy, the round plate that attaches the light fixture to the ceiling, and on the light fixture packaging and receipts.	Sea Gull Lighting Products Inc., of Riverside, N.J.	null	China	Sea Gull Lighting has received two reports of light fixtures falling. There have been no reports of injuries.	Due to a manufacturing defect in a component part, the light fixture could fall and strike a person beneath the light fixture. The fixture also poses a laceration risk if the lamp breaks.	null	null	About 2,700
CPSC	05110	Consumers should stop using their log splitter until they have determined if their unit is a part of this recall. Consumers should contact Brave Products Inc. to receive a free replacement cylinder	null	Log Splitter	The log splitters are made of steel and painted orange and black. They have trailer hitches and rubber tires. Each log splitter has a decal on the side that reads &quot;Brave Products, Inc.&quot; and &quot;__ ton&quot; (either 15, 22, 26, or 34). The following models are being recalled:	Brave Products Inc., Streator, Ill	null	United States	Brave Products has received 14 reports of leaking cylinders and/or rod retention failure. No injuries have been reported.	The log splitter's hydraulic cylinders can have defective rod retention, causing the seals to leak and the rods to detach. This can result in serious injury to the operator, as the rod can rapidly and unexpectedly extend the splitting wedge.	null	null	About 4,000
CPSC	05111	Consumers should immediately take the toy away from small children and return it to their nearest Wal-Mart store for a full refund.	null	Reef Rocker Infant Toy	This recall involves Baby Connection Reef Rocker infant toys. The floor toy is intended for children ages 3 months and above. The toy's water-filled dome and four toy balls have colorful sea creatures inside. Lights and music are activated when the toy is shaken.	null	null	China	None reported.	The seam on the plastic balls can separate, releasing the small toy inside and posing a choking hazard to young children.	null	null	About 54,260
