organization	recall_number	recall_date	recall_url	manufacturers	product_types	descriptions	upcs	hazards	countries
CPSC	05085	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Wal-Mart-Stores-Inc-Announce-Recall-of-Slow-Cookers-/	Wal-Mart,null,null,null	Cookers & Cookware	General Electric (GE) Oval and Double Dish Slow Cookers		Burn - Not Fire-Related	
CPSC	05083	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Poundex-Associates-Corp-Announce-Recall-of-Dining-Chairs-/	Poundex Associates	Chairs & Stools	Poundex Residential Dining Chairs		Fall	China
CPSC	05084	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Emerson-Tool-Co-Announce-Recall-to-Repair-WetDry-Vacuums/	Emerson Tool,null,null,null	Vacuum Cleaners/Sweepers	Ridgid 16-Gallon 2-In-1 Blower Vac wet/dry vacuums		Laceration	Canada
CPSC	05527	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Climb-High-Inc-Announce-Recall-of-Avalanche-Transceivers-/	Ascom Systec AG,null,null	Climbing Equipment	Mammut Barryvox Opto 3000 Avalanche Transceivers	M0080000,null,null,null	Entrapment	Switzerland
CPSC	05528	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Club-Car-Inc-Announce-Recall-to-Repair-DS-Golf-Cars-Hospitality-Utility--Transport-Vehicles-and-Rough-Terrain-Vehicles/	Club Car	Utility, Off-Road Vehicles/Golf Carts	Club Car DS, Café Express Golf Cars,null,null,null,null		Vehicle Accident	United States
CPSC	05529	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Sauder-Woodworking-Co-Announce-Recall-of-Mini-Spot-light-Bulbs-in-Furniture-Hutches-Sold-At-Office-Depot-Stores/	Comtrad,null,null,null	Lights & Accessories	Comtrad, Sauder 40 Watt Incandescent Mini Spot-light Bulbs		Laceration	China
CPSC	05087	2005-01-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Flow-International-Announce-Recall-of-Snowboard-Bindings-/	Flow,null,null,null	Skiing/Snowboarding	2004 Flow MK Series Snowboard Bindings		Fall	China
CPSC	05081	2005-01-11	http://www.cpsc.gov/en/Recalls/2005/CPSC-SHURflo-Announce-Recall-to-Repair-Backpack-Sprayers-/	SHURflo	Sprayers	SHURflo ProPack Rechargeable Electric Backpack Sprayers		Fire & Fire-Related Burn	United States
CPSC	05082	2005-01-11	http://www.cpsc.gov/en/Recalls/2005/CPSC-Riviera-Trading-Inc-Announce-Recall-of-Childrens-Costume-Bracelets-/	Riviera Trading,null,null,null,null,null,null	Costume/Children's Jewelry	Riviera Trading metallic costume bracelets		Lead	China
CPSC	05080	2005-01-07	http://www.cpsc.gov/en/Recalls/2005/CPSC-Norco-Products-Ltd-Announce-Recall-of-Bicycle-Attachment-/	Norco,null	Bicycles & Accessories	Adams Trail-a-Bike Bicycle Attachments (Starter/Folder/Shifter/Shocker/Me 2),null		Vehicle Accident	China
CPSC	05079	2005-01-06	http://www.cpsc.gov/en/Recalls/2005/CPSC-Orbelle-Trade-Inc-Announce-Recall-of-Cribs-/	Orbelle Trade	Cribs	Orbelle Daniella, Leeat, Noa, Naomi, Gabriella, Amber, Series 300 cribs		Entrapment	Romania
CPSC	05078	2005-01-04	http://www.cpsc.gov/en/Recalls/2005/CPSC-Royal-Appliance-Announce-Recall-of-Sweeper-Vac-/	Royal Appliance,null	Vacuum Cleaners/Sweepers	Dirt Devil Sweeper Vac Vacuum Cleaners		Fire & Fire-Related Burn	China
CPSC	05077	2005-01-04	http://www.cpsc.gov/en/Recalls/2005/CPSC-The-Step-2-Co-Announce-Recall-to-Repair-Toddler-Swings-/	Step2	Swing Sets	Step 2 Toddler Swings		Fall	United States
CPSC	05076	2004-12-26	http://www.cpsc.gov/en/Recalls/2005/CPSC-AA-Importer-Inc-Announce-Recall-of-Push-and-Electronic-Toys-/	AA Importer	Toy Animals Stuffed/Not Stuffed,null	Push Along Frog Toys,null		Choking	China
CPSC	05073	2004-12-22	http://www.cpsc.gov/en/Recalls/2005/CPSC-Robertshaw-Controls-Company-Announce-Recall-of-Certain-Models-of-7000-Series-Gas-Control-Valves-/	Robertshaw Controls	Gas Control Valves	Robertshaw 7000 Series Gas Control Valves		Fire & Fire-Related Burn	Mexico
CPSC	05074	2004-12-22	http://www.cpsc.gov/en/Recalls/2005/CPSC-Crosman-Corporation-Announce-Recall-of-Air-Pistols/	Umarex,null,null,null	Air Rifles/Air Guns/BB Guns & Accessories	Walther CP Sport, CP99 CO2 Air Pistols,null		Explosion/Projectiles	Germany
CPSC	05526	2004-12-22	http://www.cpsc.gov/en/Recalls/2005/CPSC-GE-Security-Inc-Announce-RetrofitRecall-of-Smoke-Detector-Systems-/	GE Security	Smoke Detectors/Alarms	GE Smoke Detector Systems		Fire & Fire-Related Burn	United States
CPSC	05072	2004-12-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Raymond-Geddes-Co-Announce-Recall-of-Childrens-Necklaces-/	Raymond Geddes	Costume/Children's Jewelry	Raymond Geddes Children's Metallic Necklaces		Lead	China
CPSC	05072	2004-12-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Raymond-Geddes-Co-Announce-Recall-of-Childrens-Necklaces-/	Raymond Geddes	Costume/Children's Jewelry	Raymond Geddes Children's Metallic Necklaces		Lead	China
CPSC	05071	2004-12-16	http://www.cpsc.gov/en/Recalls/2005/CPSC-Swing-N-Slide-Corp-Announce-Recall-of-Extra-Duty-and-Heavy-Duty-Swing-Seats-/	Swing-N-Slide,null,null,null,null,null,null,null	Swing Sets	Swing-N-Slide Extra-Duty, Heavy-Duty Swing Seats		Fall	China
CPSC	05069	2004-12-14	http://www.cpsc.gov/en/Recalls/2005/CPSC-First-Team-Inc-Announce-Recall-of-Basketball-Hoops-/	First Team	Basketball	First Team Attack, Force, Titan Basketball Hoops		Collapse	United States
CPSC	05070	2004-12-14	http://www.cpsc.gov/en/Recalls/2005/CPSC-Psion-Teklogix-Corp-Announce-Recall-of-AC-Power-Adapters-/	Psion Teklogix,null	Adapter/Power Supply/Charger/Battery,null	Psion Teklogix netpad, netBook, Netbook Pro notebook AC Power Adapters		Electrocution/Electric Shock	China
CPSC	05524	2004-12-10	http://www.cpsc.gov/en/Recalls/2005/CPSC-Kawasaki-Motors-Corp-USA-is-Recalling-2005-Model-Off-highway-Motorcycles-/	Kawasaki	Motorcycles/Dirt Bikes (Off-Road) & Accessories	Kawasaki 2005 KLX110-A4 Off-Highway Motorcycles		Vehicle Accident	Thailand
CPSC	05525	2004-12-10	http://www.cpsc.gov/en/Recalls/2005/CPSC-American-Suzuki-Motor-Corporation-Announce-Recall-of-2005-DR-Z110K5-Off-Road-Motorcycles-/	Suzuki,null	Motorcycles/Dirt Bikes (Off-Road) & Accessories	Suzuki 2005 DR-Z110K5 Off-Road Motorcycles		Vehicle Accident	Thailand
CPSC	05065	2004-12-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-Norton-McNaughton-of-Squire-Inc-Announce-Recall-of-Girls-Hooded-Sweaters-with-Drawstrings-/	Norton McNaughton of Squire,null	Clothing (Children)	Norton McNaughton of Squire Energie Brand Hooded Sweaters		Strangulation	Korea,null,null
CPSC	05523	2004-12-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-SCUBAPRO-Announce-Recall-of-Converter-Kit-/	Scubapro,null	Scuba Diving/Water Activity Equipment	Scubapro Converter For Air 2 Alternate Inflation Regulators			Taiwan
CPSC	05064	2004-12-08	http://www.cpsc.gov/en/Recalls/2005/CPSC-Technical-Consumer-Products-Inc-Announce-Recall-of-Fluorescent-Light-Bulbs-/	Technical Consumer Products,null,null,null,null	Lights & Accessories	Commercial Electric, DuraBright 3-way compact fluorescent light bulbs		Fire & Fire-Related Burn	China
CPSC	05521	2004-12-07	http://www.cpsc.gov/en/Recalls/2005/CPSC-American-Suzuki-Motor-Corporation-Announce-Recall-of-2004--2005-Eiger-and-Vinson-ATVs-/	Suzuki	All Terrain Vehicles (ATVs)	Suzuki 2004-2005 Eiger, Vinson All Terrain Vehicles (ATVs)		Fire & Fire-Related Burn	United States
CPSC	05522	2004-12-07	http://www.cpsc.gov/en/Recalls/2005/CPSC-Polaris-Industries-Announce-Recall-of-900-Fusion-900-RMK-Snowmobiles-/	Polaris	Snowmobiles	Polaris 900 Fusion, 900 RMK 151 Snowmobiles		Fire & Fire-Related Burn	United States
CPSC	05063	2004-12-06	http://www.cpsc.gov/en/Recalls/2005/CPSC-Robert-Bosch-Tool-Corp-Announce-Recall-of-Skil-Table-Saws/	Bosch (Robert Bosch Tool),null,null,null,null	Table Saws	Skil Table Saws		Electrocution/Electric Shock	Taiwan
CPSC	05060	2004-12-06	http://www.cpsc.gov/en/Recalls/2005/CPSC-Scag-Power-Equipment-Announce-Recall-of-Tiger-Cub-Lawn-Tractors-/	Scag Power	Tractors	Scag Tiger Cub Riding Lawn Tractors		Fire & Fire-Related Burn	United States
CPSC	05061	2004-12-06	http://www.cpsc.gov/en/Recalls/2005/CPSC-Electrolux-Home-Products-Inc-Announce-Recall-of-Husqvarna-Lawn-Tractors-/	Electrolux,null	Tractors	Husqvarna Lawn Tractors		Fire & Fire-Related Burn	United States
CPSC	05520	2004-12-06	http://www.cpsc.gov/en/Recalls/2005/CPSC-Exmark-Announce-Recall-of-Lazer-Z-Zero-Turn-Radius-Riding-Lawn-Mowers-/	Exmark	Lawn Mowers & Accessories	Exmark Lazer Z EFI Zero Turn Radius Riding Lawn Mowers		Fire & Fire-Related Burn	United States
CPSC	05062	2004-12-05	http://www.cpsc.gov/en/Recalls/2005/CPSC-LG-Sourcing-and-Lowes-Announce-Recall-of-GardenPlus-Industrial-Garden-Carts-/	L G Sourcing,null	Wheelbarrows/Garden Carts	GardenPlus Industrial Garden Cart		Explosion/Projectiles	China
CPSC	05519	2004-12-02	http://www.cpsc.gov/en/Recalls/2005/CPSC-Target-Corp-Announce-Recall-of-Suede-Sandals-/	Target,null	Shoes, Sandals & Boots	Mossimo Beaded Sandals sold at Target		Fall	China
CPSC	05518	2004-11-30	http://www.cpsc.gov/en/Recalls/2005/CPSC-Classic-Sport-Companies-Inc-Announce-Recall-of-Table-Soccer-Games/	Classic Sport,null,null,null,null,null,null	Games	Classic Sport Underlit Table Soccer Games		Fire & Fire-Related Burn	China
CPSC	05057	2004-11-26	http://www.cpsc.gov/en/Recalls/2005/CPSC-Procter--Gamble-Announce-Recall-of-SweepVac-Battery-Operated-Vacuum-Cleaner-by-Swiffer-/	Procter & Gamble,null	Vacuum Cleaners/Sweepers	Swiffer Sweep+Vac Battery-Operated Vacuum Cleaners	3700002553,null	Fire & Fire-Related Burn	China
CPSC	05058	2004-11-26	http://www.cpsc.gov/en/Recalls/2005/CPSC-Meijer-Distribution-Inc-Announce-Recall-of-Childrens-Snow-Suits-Jackets-/	Meijer,null	Clothing (Children)	Falls-Creek Children’s Snow Suits, Jackets		Choking	China,null
CPSC	05517	2004-11-24	http://www.cpsc.gov/en/Recalls/2005/CPSC-Deere--Company-Announce-Recall-of-Riding-Mowers-/	Deere & Company (John Deere)	Lawn Mowers & Accessories	John Deere GX85, SX85 Riding Lawn Mowers		Fire & Fire-Related Burn	United States
CPSC	05516	2004-11-24	http://www.cpsc.gov/en/Recalls/2005/CPSC-Hanna-Andersson-Announce-Recall-of-Childrens-Corduroy-Overalls-/	Hanna Andersson,null	Clothing (Children)	Hanna Andersson Children’s Corduroy Overalls		Choking	Hong Kong,null
CPSC	05055	2004-11-23	http://www.cpsc.gov/en/Recalls/2005/CPSC-Fitness-Quest-Inc-Announce-Recall-to-Repair-Ab-Lounge-Exercise-Products-/	Fitness Quest,null,null,null	Exercise Machines/Equipment	Fitness Quest Ab Lounge, Ab Lounge 2, Ab Lounge Ultimate Exercisers		Amputation,null,null	China,null
CPSC	05056	2004-11-23	http://www.cpsc.gov/en/Recalls/2005/CPSC-Lakewood-Announce-Recall-of-Fan-Forced-Mini-Personal-Heaters-/	Lakewood Engineering	Electric Heaters	Lakewood MPH-25 Fan-Forced Mini-Personal Electric Heaters		Fire & Fire-Related Burn	China
CPSC	05513	2004-11-19	http://www.cpsc.gov/en/Recalls/2005/CPSC-Byer-of-Maine-Announce-Recall-to-Exchange-TriLite-Stools-/	Byer of Maine	Furniture (Miscellaneous)	Byer of Maine TriLite Stools		Collapse	China
CPSC	05512	2004-11-19	http://www.cpsc.gov/en/Recalls/2005/CPSC-Kubota-Announce-Recall-of-Utility-Vehicles-/	Kubota	Utility, Off-Road Vehicles/Golf Carts	Kubota RTV900 Utility Vehicles		Internal Injury	United States
CPSC	05514	2004-11-19	http://www.cpsc.gov/en/Recalls/2005/CPSC-Emerson-Motor-Co-Announce-Recall-of-37-Inch-Stators/	Emerson Motor,null	Water Distillers/Coolers/Purifiers,null	Emerson Motor Stators used in Procon pumps		Electrocution/Electric Shock	Mexico
CPSC	05515	2004-11-19	http://www.cpsc.gov/en/Recalls/2005/CPSC-Midwest-and-GE-Announce-Recall-of-Meter-Load-Centers-/	Midwest Electric Products,null	Meter Boxes	Midwest, GE meter socket load centers		Fire & Fire-Related Burn	Mexico
CPSC	05051	2004-11-18	http://www.cpsc.gov/en/Recalls/2005/CPSC-Chicago-Imports-Inc-Announce-Recall-of-Electric-Pictures-/	Chicago Imports	Artwork	Chicago Imports Electric Pictures		Electrocution/Electric Shock	China
CPSC	05052	2004-11-18	http://www.cpsc.gov/en/Recalls/2005/CPSC-JC-Penney-Corporation-Inc-Announce-Recall-of-Childrens-Pajama-Sets-/	JC Penney	Clothing (Children)	JC Penney Okie Dokie Alligator Football Pajama Sets		Choking	Hong Kong,null
CPSC	05050	2004-11-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Maytag-Corp-Announce-Recall-of-Jenn-Air-Gas-Cooktops-/	Maytag,null	Ovens/Stoves/Ranges/Microwaves	Maytag Jenn-Air Downdraft Gas Cooktops		Fire & Fire-Related Burn	United States
CPSC	05510	2004-11-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Country-Home-Products-Inc-Announce-Recall-to-Repair-Cordless-Electric-Lawnmowers-/	Country Home Products,null	Lawn Mowers & Accessories	Country Home Products Neuton Cordless Electric Lawnmowers		Amputation	Taiwan
CPSC	05511	2004-11-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Ocean-Management-Systems-Announce-Recall-of-SCUBA-Manifolds-/	Ocean Management Systems (OMS)	Scuba Diving/Water Activity Equipment	Ocean Management Systems (OMS) Rotating Cross Bar SCUBA Manifold		Drowning	Italy
CPSC	05050	2004-11-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Maytag-Corp-Announce-Recall-of-Jenn-Air-Gas-Cooktops-/	Maytag,null	Ovens/Stoves/Ranges/Microwaves	Maytag Jenn-Air Downdraft Gas Cooktops		Fire & Fire-Related Burn	United States
CPSC	05510	2004-11-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Country-Home-Products-Inc-Announce-Recall-to-Repair-Cordless-Electric-Lawnmowers-/	Country Home Products,null	Lawn Mowers & Accessories	Country Home Products Neuton Cordless Electric Lawnmowers		Amputation	Taiwan
CPSC	05511	2004-11-17	http://www.cpsc.gov/en/Recalls/2005/CPSC-Ocean-Management-Systems-Announce-Recall-of-SCUBA-Manifolds-/	Ocean Management Systems (OMS)	Scuba Diving/Water Activity Equipment	Ocean Management Systems (OMS) Rotating Cross Bar SCUBA Manifold		Drowning	Italy
CPSC	05048	2004-11-16	http://www.cpsc.gov/en/Recalls/2005/CPSC-The-Nautilus-Group-Announce-Recall-to-Repair-Bowflex-Power-Pro-and-Ultimate-Fitness-Machines-/	Bowflex,null	Exercise Machines/Equipment	Bowflex Power Pro and Bowflex Ultimate Fitness Machines		Fall	Taiwan,null
CPSC	05045	2004-11-15	http://www.cpsc.gov/en/Recalls/2005/CPSC-RMM-Corporation-Announce-Recall-of-BLACK-CAT-Electric-Pressure-Washers-/	Shanghai MeiHao Electric,null,null,null,null,null	Pressure Washers	Black Cat Electric Pressure Washers		Fire & Fire-Related Burn	China
CPSC	05046	2004-11-15	http://www.cpsc.gov/en/Recalls/2005/CPSC-Robert-Bosch-Tool-Corp-Announce-Recall-of-Abrasive-Cut-Off-Wheels/	Bosch (Robert Bosch Tool)	Sanders/Grinders & Accessories	Bosch Type 1 Abrasive Cut-Off Wheels		Explosion/Projectiles	Bulgaria,null
CPSC	05047	2004-11-15	http://www.cpsc.gov/en/Recalls/2005/CPSC-York-International-Corp-Announce-Recall-of-Gas-Furnaces-/	York International,null,null,null,null	Furnaces	Coleman, Coleman Evcon and Red T Gas Furnaces		Carbon Monoxide (CO)	United States
CPSC	05044	2004-11-10	http://www.cpsc.gov/en/Recalls/2005/CPSC-CFM-Corporation-Announce-Recall-to-Repair-Vermont-Castings-Five-Burner-Barbeque-Grills-/	CFM,null,null	Grills, Smokers & Accessories	CFM Vermont Castings Five-Burner Barbeque Grills		Fire & Fire-Related Burn	Canada
CPSC	05509	2004-11-10	http://www.cpsc.gov/en/Recalls/2005/-CPSC-Stack-On-Products-Co-Inc-Announce-Recall-of-Stack-On-Strong-Box-Safes-/	Stack-On Products	Safes	Stack-On Strong Box Safes		Explosion/Projectiles	China
CPSC	05040	2004-11-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-General-Binding-Corp-Announce-Recall-of-Pouch-Laminators-/	General Binding	Stationery Items	General Binding HeatSeal Pouch Laminators		Fire & Fire-Related Burn	China
CPSC	05041	2004-11-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-Aloha-Housewares-Inc-Announce-Voluntary-Recall-of-Radiant-Heaters-/	Aloha Housewares,null,null	Electric Heaters	Aloha Housewares Airtech Radiant Heaters		Fire & Fire-Related Burn	China
CPSC	05508	2004-11-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-Deere--Company-Announce-Recall-of-Gator-HPX-Utility-Vehicles-/	Deere & Company (John Deere)	Utility, Off-Road Vehicles/Golf Carts	John Deere Gator HPX Utility Vehicles		Vehicle Accident	United States
CPSC	05042	2004-11-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-Bilt-Safe-Technologies-Announce-Recall-of-Electric-Blankets-/	Bilt-Safe,null,null,null,null	Electric Blankets/Warmers	Bilt-Safe, Comfort Max Electric Blankets		Fire & Fire-Related Burn	China
CPSC	05043	2004-11-09	http://www.cpsc.gov/en/Recalls/2005/CPSC-Black-Diamond-Equipment-Announce-Recall-of-Headlamp-Batteries-/	Black Diamond Equipment	Adapter/Power Supply/Charger/Battery	Black Diamond Soliras Headlamp Lithium Ion Batteries		Fire & Fire-Related Burn	China
CPSC	05507	2004-11-08	http://www.cpsc.gov/en/Recalls/2005/CPSC-Answer-Products-Inc-Announce-Recall-of-Bicycle-Suspension-Forks-/	Answer Products,null	Bicycles & Accessories	Manitou Sherman Jumper, Stance Static,Blunt,Flow Bicycle Suspension Forks,null		Vehicle Accident	United States,null
CPSC	05039	2004-11-05	http://www.cpsc.gov/en/Recalls/2005/CPSC-Cannondale-Bicycle-Corp-Announce-Recall-of-Certain-Quick-Release-Handlebar-Bags-/	Cannondale	Bicycles & Accessories	Cannondale Crossroads, Perimeter Bicycle Handlebar Bags		Vehicle Accident	China
CPSC	05036	2004-11-04	http://www.cpsc.gov/en/Recalls/2005/CPSC-Petit-Bateau-Announce-Recall-of-Childrens-Bathrobes-/	Petit Bateau	Clothing (Children)	Petit Bateau Children’s Bathrobes		Fire & Fire-Related Burn	Tunisia,null
CPSC	05037	2004-11-04	http://www.cpsc.gov/en/Recalls/2005/CPSC-Valvoline-Announce-Recall-of-Brake-Cleaner-and-Brake-Parts-Cleaner/	Valvoline,null,null,null	Automotive Products	Valvoline Non-Chlorinated Pyroil Brake Parts Cleaner, NAPA Brake Cleaner		Fire & Fire-Related Burn	United States
CPSC	05038	2004-11-04	http://www.cpsc.gov/en/Recalls/2005/CPSC-Cordelia-Lighting-Announce-Recall-of-Hampton-Bay-Light-Fixtures-Sold-at-Expo-Design-Centers-/	Cordelia Lighting,null,null,null	Lights & Accessories	Hampton Bay Halogen Light Fixtures		Burn - Not Fire-Related	China
CPSC	05034	2004-11-03	http://www.cpsc.gov/en/Recalls/2005/CPSC-adidas-America-Inc-Announce-Recall-of-Basketball-Shoes/	adidas America	Shoes, Sandals & Boots	adidas Superstar Ultra, Pro Team Basketball Shoes		Internal Injury	China
CPSC	05035	2004-11-03	http://www.cpsc.gov/en/Recalls/2005/CPSC-Schneider-Electric-North-American-Division-Announce-Recall-of-AFCIs/	Schneider Electric,null,null	Arc Fault Circuit Interrupters (AFCI),null	Schneider Electric Square D, Homeline Arc Fault Circuit Interrupters (AFCI)			Mexico
CPSC	05506	2004-11-02	http://www.cpsc.gov/en/Recalls/2005/CPSC-Quality-Bicycle-Products-Announce-Recall-of-Bicycle-Forks-/	Salsa Cycles,null	Bicycles & Accessories	Salsa Campeon Bicycle Forks		Vehicle Accident	Taiwan
CPSC	05031	2004-11-01	http://www.cpsc.gov/en/Recalls/2005/CPSC-Robertshaw-Controls-Company-Announce-Recall-of-TS-11-Thermal-Safety-Control-Gas-Valves-/	Robertshaw Controls	Gas Control Valves	Robertshaw TS-11 Thermal Safety Control Gas Valves / Magnet Heads		Fire & Fire-Related Burn	Mexico
CPSC	05505	2004-10-28	http://www.cpsc.gov/en/Recalls/2005/CPSC-Kyocera-Wireless-Corp-Announce-Recall-of-Cell-Phone-Batteries-/	Kyocera Wireless,null,null,null,null,null,null,null	Adapter/Power Supply/Charger/Battery	Kyocera Wireless cell phone batteries for Slider, K400, 3200 series phones,null		Burn - Not Fire-Related	China,null
CPSC	05027	2004-10-26	http://www.cpsc.gov/en/Recalls/2005/CPSC-Rio-Brands-Announce-Recall-of-Folding-Lawn-Chairs-Sold-at-Wal-Mart-/	Rio Brands,null	Chairs & Stools	RIO Mainstays Garden Folding Lawn Chairs		Fall	China
CPSC	05020	2004-10-21	http://www.cpsc.gov/en/Recalls/2005/CPSC-Tai-Tung-International-Recall-Car-and-Washing-Machine-Toys-/	Tai Tung International	Toy Cars	Tai Tung Toy Ice Cream Cars, Police Cars, Washing Machines		Choking	China
CPSC	05023	2004-10-21	http://www.cpsc.gov/en/Recalls/2005/CPSC-Nexgrill-Industries-Announce-Recall-of-Gas-Grills-to-Replace-Gas-Pressure-Regulator-OnOff-Gauge-/	Nexgrill,null,null,null,null	Grills, Smokers & Accessories	Nexgrill Beefmaster Explorer Outdoor Gas Grills		Fire & Fire-Related Burn	China
CPSC	05024	2004-10-21	http://www.cpsc.gov/en/Recalls/2005/CPSC-International-Playthings-Inc-Announce-Recall-of-Rattles-/	International Playthings	Rattles	International Playthings Earlyears Spirolly Rattles		Choking	China
CPSC	05504	2004-10-21	http://www.cpsc.gov/en/Recalls/2005/CPSC-Polaris-Industries-Announce-Recall-of-RANGER-4x4-Utility-Vehicles/	Polaris	Utility, Off-Road Vehicles/Golf Carts	Polaris RANGER 4x4 Utility Vehicles		Vehicle Accident	United States
CPSC	05019	2004-10-20	http://www.cpsc.gov/en/Recalls/2005/CPSC-Zippo-Announce-Recall-of-Multi-Purpose-Utility-Lighters-/	Zippo,null,null,null,null,null,null,null	Lighters	Zippo MPL, multi-purpose utility lighters		Fire & Fire-Related Burn	China
CPSC	05021	2004-10-20	http://www.cpsc.gov/en/Recalls/2005/CPSC-Chris-Arlotta-Enterprises-Ltd-Announce-Recall-of-Mattress-Pads-/	Chris Arlotta,null,null,null,null	Mattresses & Covers	Chris Arlotta Mattress Pads		Fire & Fire-Related Burn	India
CPSC	05018	2004-10-19	http://www.cpsc.gov/en/Recalls/2005/CPSC-Avanti-Products-Inc-Announce-Recall-of-Water-Dispensers-/	Avanti Products,null,null	Water & Drink Dispensers	Avanti Water Dispensers		Burn - Not Fire-Related	China
CPSC	05012	2004-10-15	http://www.cpsc.gov/en/Recalls/2005/CPSC-Sky-High-International-Announce-Recall-of-Care-Bears-Lunch-Kits-Sold-at-Kohls-Department-Stores-/	Sky High International,null	Lunch Kits	Care Bears Lunch Kits with Water Bottles		Choking	China
CPSC	05013	2004-10-15	http://www.cpsc.gov/en/Recalls/2005/CPSC-IKEA-Home-Furnishings-Announce-Recall-of-Fargglad-Multi-Color-Childrens-Chair-/	IKEA	Chairs & Stools	IKEA Fargglad multi-color children’s chairs		Choking	Vietnam,null
CPSC	05009	2004-10-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Giant-Bicycle-Inc-Announce-Recall-of-Bicycles-/	Giant Bicycle,null	Bicycles & Accessories	Giant Bicycle Rainier Mountain Bicycles with Marzocchi EXR Comp front forks		Vehicle Accident	Taiwan
CPSC	05010	2004-10-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-LaCrosse-Footwear-Inc-Announce-Recall-of-Work-Boots-/	LaCrosse Footwear	Shoes, Sandals & Boots	LaCrosse Polar and Trailblazer Work Boots		Internal Injury	China
CPSC	05011	2004-10-13	http://www.cpsc.gov/en/Recalls/2005/CPSC-Little-Giant-Pump-Co-Announce-Recall-of-Cooler-Pumps-/	Little Giant Pump	Water Distillers/Coolers/Purifiers	Little Giant Evaporative Cooler Pumps		Fire & Fire-Related Burn	China
CPSC	05005	2004-10-12	http://www.cpsc.gov/en/Recalls/2005/CPSC-Teng-Fei-Trading-Inc-Announce-Recall-of-Energy-Saving-Light-Bulbs-/	Teng Fei Trading,null	Lights & Accessories	Teng Fei Energy Saving Light Bulbs		Fire & Fire-Related Burn	China
CPSC	05006	2004-10-12	http://www.cpsc.gov/en/Recalls/2005/CPSC-Chicago-Wholesale--Imports-Inc-Announce-Recall-of-Electric-Pictures/	Chicago Wholesale & Imports	Artwork	Chicago Wholesale & Imports Electric Pictures (Moveable Water)		Electrocution/Electric Shock	China
CPSC	05004	2004-10-08	http://www.cpsc.gov/en/Recalls/2005/CPSC-Dell-Inc-Announce-Recall-of-AC-Adapters-for-Notebook-Computers-/	Dell,null	Adapter/Power Supply/Charger/Battery,null	Dell AC Adapters for Latitude, Precision, and Inspiron Notebook Computers		Electrocution/Electric Shock	Thailand,null
CPSC	05002	2004-10-06	http://www.cpsc.gov/en/Recalls/2005/CPSC-New-York-Zion-Trading-Corp-Announce-Recall-of-Electric-Fans-/	New York Zion Trading	Fans	NYZT Portable oscillating electric fans		Electrocution/Electric Shock	China
CPSC	05503	2004-10-05	http://www.cpsc.gov/en/Recalls/2005/CPSC-Runtal-North-America-Inc-Announce-Recall-to-Replace-Runtal-Sundance-Towel-Radiators/	Runtal North America,null,null	Radiators	Runtal Sundance Towel Radiators		Burn - Not Fire-Related	United States
CPSC	05501	2004-10-01	http://www.cpsc.gov/en/Recalls/2005/CPSC-Bombardier-Recreational-Products-Inc-Announce-Recall-of-Snowmobiles/	Bombardier (BRP)	Snowmobiles	Ski-Doo MX Z 800 HO and GSX LTD 800 HO Snowmobiles		Explosion/Projectiles	Canada
CPSC	05502	2004-10-01	http://www.cpsc.gov/en/Recalls/2005/CPSC-Bombardier-Recreational-Products-Inc-Announce-Recall-of-Snowmobiles1/	Bombardier (BRP),null	Snowmobiles	Ski-Doo MX Z Adrenaline, Renegade; GSX Limited, Sport Snowmobiles,null		Vehicle Accident	Canada
CPSC	04229	2004-09-30	http://www.cpsc.gov/en/Recalls/2004/CPSC-Goodman-Company-LP-Announce-Recall-of-Amana-Trane-and-American-Standard-Brand-Package-Terminal-Air-ConditionersHeat-Pumps--/	Goodman,null,null,null	Air Conditioners,null	Goodman Package Terminal Air Conditioner/Heat Pumps (PTAC)		Fire & Fire-Related Burn	United States
